WOJEWODZTWO;NUTS3;NUTS3_OPIS;LUDNOSC;STATYSTYKA;KLIENCI;KLIENCI_DEF2;SALDO
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Ogó³em;1260426;103819;67469614071,8221627380952380952380952381
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Ratalne;324767;17638;1988110036,15306428571428571428571428571
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Karty;461479;22238;1278028718,25
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Limity;539181;17598;843610551,583333333333333333333333333332
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Gotówkowe;451782;46274;13811874876,073797619047619047619047619
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Bank;1241771;87484;67054971727,6394627380952380952380952381
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Po¿yczki pozabankowe;60279;27031;414642344,1827
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Mieszkaniowe;371724;3995;49121709936,0792675
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Ogó³em;849679;77471;32971938560,2839942857142857142857142857
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Limity;400257;13432;587785412,750000000000000000000000000003
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Po¿yczki pozabankowe;48240;22129;339573103
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Ratalne;211997;12395;1090278165,47836666666666666666666666667
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Karty;253925;16595;680419935,333333333333333333333333333335
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Gotówkowe;321013;34128;8832735433,25658333333333333333333333332
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Mieszkaniowe;217662;2323;21431898469,4657109523809523809523809524
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Bank;833543;63961;32632365457,2839942857142857142857142857
Lubelskie;PL81;Lubelskie;1744121;Gotówkowe;263304;22239;7052492615,3445647619047619047619047619
Lubelskie;PL81;Lubelskie;1744121;Limity;337424;8559;371079174,066666666666666666666666666666
Lubelskie;PL81;Lubelskie;1744121;Po¿yczki pozabankowe;29548;12915;195856330
Lubelskie;PL81;Lubelskie;1744121;Mieszkaniowe;195252;1694;18796711190,1504657142857142857142857143
Lubelskie;PL81;Lubelskie;1744121;Ratalne;167259;7069;736533163,438316666666666666666666666666
Lubelskie;PL81;Lubelskie;1744121;Bank;725900;41344;27419398726,8333471428571428571428571427
Lubelskie;PL81;Lubelskie;1744121;Karty;197021;10451;454351435,499999999999999999999999999999
Lubelskie;PL81;Lubelskie;1744121;Ogó³em;735712;49208;27615255056,8333471428571428571428571427
Lubuskie;PL43;Lubuskie;831233;Limity;186215;6030;270871644,2
Lubuskie;PL43;Lubuskie;831233;Ratalne;114573;6662;684626902,5037
Lubuskie;PL43;Lubuskie;831233;Ogó³em;429558;37756;18187040252,2082583333333333333333333333
Lubuskie;PL43;Lubuskie;831233;Gotówkowe;165987;16224;4803927254,61798333333333333333333333334
Lubuskie;PL43;Lubuskie;831233;Po¿yczki pozabankowe;22043;9759;147043773,5
Lubuskie;PL43;Lubuskie;831233;Karty;142441;8295;370190872
Lubuskie;PL43;Lubuskie;831233;Mieszkaniowe;120942;1344;11909285804,8865749999999999999999999999
