DATA_ZESTAWIENIA;TYP_SUBSKRYBENTA;TYP_KREDYTU;LICZBA_KREDYTOW;KWOTA_KREDYTOW;KWOTA_DO_SPLATY;LICZBA_KREDYTOW_DEF01;LICZBA_KREDYTOW_DEF30;LICZBA_KREDYTOW_DEF90;KWOTA_DO_SPLATY_DEF01;KWOTA_DO_SPLATY_DEF30;KWOTA_DO_SPLATY_DEF90;LICZBA_KLIENTOW;LICZBA_KLIENTOW_DEF2
2017-01-31 00:00:00;;Gotówkowe;7521890,999999999999999999999999999999;;124147846701,147;;1066848,99999999999999999999999999999993;947994,999999999999999999999999999999937;;20628488798,3888;18137827449,1529;;
2017-01-31 00:00:00;;Karty kredytowe;6555720,99999999999999999999999999999999;;13007914102;;384426,999999999999999999999999999999998;325309;;1320977693;1159230788;;
2017-01-31 00:00:00;;Limity;6195935,99999999999999999999999999999902;;10264579020,5778;;272707;247116;;1252285951,569;1170245830,569;;
2017-01-31 00:00:00;;Mieszkaniowe;2249832,99999999999999999999999999999226;;408513483960,233899999999999999999999996;;45673,9999999999999999999999999999999995;31782,9999999999999999999999999999999997;;15754669244,5308;12180272180,1216;;
2017-01-31 00:00:00;;Po¿yczki pozabankowe;656184;;1427858531;;233528;172869;;542477124;406670158;;
2017-01-31 00:00:00;;Ratalne;4737382,99999999999999999999999999999971;;17560249109,8724;;358362,999999999999999999999999999999997;315765;;2678463441,047;2509745816,2404;;
2017-02-28 00:00:00;;Gotówkowe;7530730,999999999999999999999999999999;;125034919401,725632;;1068379,99999999999999999999999999999993;952548,999999999999999999999999999999936;;20818117991,0251;18341027274,3359;;
2017-02-28 00:00:00;;Karty kredytowe;6550755,99999999999999999999999999999999;;12983876498;;381646,999999999999999999999999999999998;324659;;1326202860;1181377763;;
2017-02-28 00:00:00;;Limity;6186642,99999999999999999999999999999902;;9969782022,7493999999999999999999999999;;267075;245827;;1235639464,117;1164182003,117;;
2017-02-28 00:00:00;;Mieszkaniowe;2259460,99999999999999999999999999999224;;409002633167,011832000000000000000000009;;45614,9999999999999999999999999999999994;31777,9999999999999999999999999999999997;;15762359631,929032;12207960829,605288;;
2017-02-28 00:00:00;;Po¿yczki pozabankowe;674546;;1479164902;;244362;182322;;574219171;433349563;;
