DATA_UMOWY;TYP_SUBSKRYBENTA;TYP_KREDYTU;LICZBA_KREDYTOW;KWOTA_KREDYTOW
2017-01-01 00:00:00;;Gotówkowe;253233;4426260368,2387
2017-01-01 00:00:00;;Karty kredytowe;85435;480155993
2017-01-01 00:00:00;;Limity;55252;232525907
2017-01-01 00:00:00;;Mieszkaniowe;15422;3305420765,3997
2017-01-01 00:00:00;;Po¿yczki pozabankowe;166543;324241925
2017-01-01 00:00:00;;Ratalne;252692;1066650481
2017-02-01 00:00:00;;Gotówkowe;257291;4802294115,5931
2017-02-01 00:00:00;;Karty kredytowe;88463;501656298
2017-02-01 00:00:00;;Limity;48613;217019599
2017-02-01 00:00:00;;Mieszkaniowe;18416;3833647439,0405
2017-02-01 00:00:00;;Po¿yczki pozabankowe;153100;276362023
2017-02-01 00:00:00;;Ratalne;230248;932427000,8204
2017-03-01 00:00:00;;Gotówkowe;337033;6282765472,2176
2017-03-01 00:00:00;;Karty kredytowe;99670;577305710
2017-03-01 00:00:00;;Limity;50958;244482229
2017-03-01 00:00:00;;Mieszkaniowe;20160;4411932315,2229
2017-03-01 00:00:00;;Po¿yczki pozabankowe;168607;330692568
2017-03-01 00:00:00;;Ratalne;288002;1124575109
2017-04-01 00:00:00;;Gotówkowe;300859;5379011586,999
2017-04-01 00:00:00;;Karty kredytowe;85349;486510339
2017-04-01 00:00:00;;Limity;46440;222592166
2017-04-01 00:00:00;;Mieszkaniowe;17850;3987405883,2295
2017-04-01 00:00:00;;Po¿yczki pozabankowe;154443;315229154
2017-04-01 00:00:00;;Ratalne;286940;1027628280
2017-05-01 00:00:00;;Gotówkowe;334957;5792803917,9197
2017-05-01 00:00:00;;Karty kredytowe;90567;507238527
2017-05-01 00:00:00;;Limity;55236;260785602
2017-05-01 00:00:00;;Mieszkaniowe;18513;4167159505,1341
2017-05-01 00:00:00;;Po¿yczki pozabankowe;184187;387406063
2017-05-01 00:00:00;;Ratalne;277446;1008597145
2017-06-01 00:00:00;;Gotówkowe;331171;5851877360,2636
2017-06-01 00:00:00;;Karty kredytowe;87683;515077540
2017-06-01 00:00:00;;Limity;59308;275634887
2017-06-01 00:00:00;;Mieszkaniowe;18507;4275403533,9339
2017-06-01 00:00:00;;Po¿yczki pozabankowe;179697;400907729
2017-06-01 00:00:00;;Ratalne;260080;984358579
2017-07-01 00:00:00;;Gotówkowe;315555;5528388554,7778
2017-07-01 00:00:00;;Karty kredytowe;79921;465346003
2017-07-01 00:00:00;;Limity;58470;258753148
2017-07-01 00:00:00;;Mieszkaniowe;17374;4000837390,5452
2017-07-01 00:00:00;;Po¿yczki pozabankowe;176715;406863646
2017-07-01 00:00:00;;Ratalne;280584;1068788147
2017-08-01 00:00:00;;Gotówkowe;321420;5450912721,8056
2017-08-01 00:00:00;;Karty kredytowe;80878;464265826
2017-08-01 00:00:00;;Limity;61183;269356208
2017-08-01 00:00:00;;Mieszkaniowe;15914;3740004463,8172
2017-08-01 00:00:00;;Po¿yczki pozabankowe;188819;443319605
2017-08-01 00:00:00;;Ratalne;297399;1093315638
2017-09-01 00:00:00;;Gotówkowe;299826;5588275556
2017-09-01 00:00:00;;Karty kredytowe;79088;455119020
2017-09-01 00:00:00;;Limity;59376;260351661
2017-09-01 00:00:00;;Mieszkaniowe;16724;3808838074,744
2017-09-01 00:00:00;;Po¿yczki pozabankowe;184320;454509178
2017-09-01 00:00:00;;Ratalne;306653;1118030432
2017-10-01 00:00:00;;Gotówkowe;312205;5701598386
2017-10-01 00:00:00;;Karty kredytowe;86804;494816026
2017-10-01 00:00:00;;Limity;59770;269946399
2017-10-01 00:00:00;;Mieszkaniowe;17782;4139703552,5087
2017-10-01 00:00:00;;Po¿yczki pozabankowe;184551;457817996
2017-10-01 00:00:00;;Ratalne;300714;1125671301
2017-11-01 00:00:00;;Gotówkowe;304166;5461212424,5
2017-11-01 00:00:00;;Karty kredytowe;82224;486238454
2017-11-01 00:00:00;;Limity;54710;247201015
2017-11-01 00:00:00;;Mieszkaniowe;15920;3815739732,3615
2017-11-01 00:00:00;;Po¿yczki pozabankowe;175396;436821295
2017-11-01 00:00:00;;Ratalne;343630;1254801688
2017-12-01 00:00:00;;Gotówkowe;292306;5011808535,775
2017-12-01 00:00:00;;Karty kredytowe;79408;440055673
2017-12-01 00:00:00;;Limity;44764;213950244
2017-12-01 00:00:00;;Mieszkaniowe;13871;3397831589,3018
2017-12-01 00:00:00;;Po¿yczki pozabankowe;192777;494375098
2017-12-01 00:00:00;;Ratalne;454710;1551911083
2018-01-01 00:00:00;;Gotówkowe;285350;5262497083
2018-01-01 00:00:00;;Karty kredytowe;81664;481735417
2018-01-01 00:00:00;;Limity;58935;269963860
2018-01-01 00:00:00;;Mieszkaniowe;16942;3800210139,3433
2018-01-01 00:00:00;;Po¿yczki pozabankowe;211381;536216196
2018-01-01 00:00:00;;Ratalne;264613;1113194749
2018-02-01 00:00:00;;Gotówkowe;265225;5129486303
2018-02-01 00:00:00;;Karty kredytowe;77340;452064309
2018-02-01 00:00:00;;Limity;53407;250339805
2018-02-01 00:00:00;;Mieszkaniowe;20618;4594115556,4014
2018-02-01 00:00:00;;Po¿yczki pozabankowe;192405;485147985
2018-02-01 00:00:00;;Ratalne;260379;1052118545
2018-03-01 00:00:00;;Gotówkowe;326421;6214359140,1633
2018-03-01 00:00:00;;Karty kredytowe;86421;503232735
2018-03-01 00:00:00;;Limity;57360;280298728
2018-03-01 00:00:00;;Mieszkaniowe;21688;5122211071,4389
2018-03-01 00:00:00;;Po¿yczki pozabankowe;221874;580480825
2018-03-01 00:00:00;;Ratalne;306290;1251633461
2018-04-01 00:00:00;;Gotówkowe;332554;6084779453
2018-04-01 00:00:00;;Karty kredytowe;83764;484582925
2018-04-01 00:00:00;;Limity;57382;275944919
2018-04-01 00:00:00;;Mieszkaniowe;20008;4896623230,5697
2018-04-01 00:00:00;;Po¿yczki pozabankowe;209463;532254853
2018-04-01 00:00:00;;Ratalne;282249;1065560765,106
2018-05-01 00:00:00;;Gotówkowe;345263;6065179456
2018-05-01 00:00:00;;Karty kredytowe;88373;498165948
2018-05-01 00:00:00;;Limity;58956;269561987
